DEGREE,YRS_EXP,SALARY,FTE
b,7,44911,1
b,20,52501,1
m12,16,54561,1
b,6,44221,1
m12,2,52588.17,1
m36,25,65008.65,1
b36,31,58711,1
b,1,40771,1
b,1,40771,1
b,8,45601,1
b,13,57518.75,1
m12,3,49190.29,1
m,21,57331,1
b,5,51045.83,1
b12,19,53871,1
m,21,58839.71,1
m,13,60755.21,1
b,23,52501,1
m12,26,61282.62,1
b,2,4669.82,0.1097
b,0,40081,1
m,14,58414.27,1
m,18,55261,1
b,13,49051,1
m,6,46981,1
b,6,53181.57,1
m,11,71266.97,1
m,11,51439.62,1
b,16,51121,1
m,32,63346.08,1
b,2,41461,1
m24,18,56621,1
m,32,58711,1
m24,29,61451,1
b,7,44911,1
b,16,61479.91,1
m12,26,72255.31,1
b,17,62309.54,1
b12,15,51111,1
m,17,54571,1
b,21,52501,1
m24,18,69226.62,1
b,4,54114.95,1
b,13,61959.16,1
b,8,45601,1
b,2,41461,1
m12,5,46971,1
b,19,52501,1
m24,27,61451,1
m12,25,60081,1
m,22,58021,1
m,2,44221,1
m12,6,47661,1
m,4,45601,1
b,5,43531,1
m12,23,60953.92,1
b12,6,44901,1
m36,9,51091,1
b12,19,53871,1
m,17,54571,1
m,14,52501,1
b36,12,51887.82,1
b,1,40771,1
b,0,40081,1
m12,10,50421,1
b24,6,45581,1
b,14,49741,1
m12,11,51791,1
b,3,42151,1
b,3,42151,1
b24,6,45581,1
b,1,40771,1
b,6,44221,1
m24,5,55877.07,1
m,12,51121,1
b,1,40771,1
m12,14,57379.5,1
m36,15,55231,1
m24,20,69326.46,1
m,10,49741,1
m,14,53551.02,1
b,2,48618.48,1
m,1,43531,1
b,0,40081,1
b24,24,58319.63,1
b12,15,51111,1
b,18,52501,1
m,6,56154.66,1
m,25,63346.08,1
b,13,49051,1
b,25,84812.3,1
b,5,43531,1
b,3,49427.59,1
b,3,42151,1
m,23,58711,1
m,37,60256.03,1
b12,25,53871,1
m,37,60256.03,1
m,17,54571,1
b,5,54986.53,1
m,24,60256.03,1
b,23,52501,1
b24,24,56621,1
m36,37,62821,1
m,14,52501,1
b12,13,49731,1
b24,28,59601.05,1
m,14,53551.02,1
m,5,46291,1
m,29,63346.08,1
m,24,58711,1
m36,32,69433.74,1
b,28,52501,1
m36,37,69433.74,1
b,3,42151,1
b,12,53807.98,1
m,23,65323.71,1
b24,14,59922.65,1
b,15,50431,1
b,2,42290.22,1
b,2,41461,1
m,21,83884.31,1
m12,24,60081,1
b24,27,56621,1
m,28,58711,1
m,23,52143.42,1
b24,15,51791,1
b,26,52501,1
b,1,40771,1
m,3,44911,1
b12,17,52491,1
b,33,64327.54,1
b,2,47527.4,1
m12,13,52491,1
b,1,40771,1
b24,18,53861,1
b,22,53551.02,1
b,15,50431,1
b,22,52501,1
b12,10,47661,1
b,13,49051,1
m12,28,60081,1
b,1,40771,1
m,16,53881,1
b36,31,58711,1
m,21,57331,1
b,4,42841,1
m,14,56645.82,1
b,0,47000.25,1
b,1,40081,1
m,14,51811,1
b,10,55091.4,1
b12,9,46971,1
b,1,41178.71,1
m,15,46981,1
b,10,44911,1
b,7,57321,1
m12,20,57321,1
b,2,41461,1
b,19,52501,1
b,14,70291.89,1
m,9,49051,1
m,20,56641,1
m,35,58711,1
m12,14,62361.72,1
m,4,45601,1
m,32,64891.11,1
b,8,45601,1
m,15,53191,1
b,18,61564.33,1
m,29,68846.37,1
b,29,52501,1
b,29,61564.33,1
m12,22,65312.59,1
b12,29,54948.42,1
m,20,66419.03,1
m36,12,58756.89,1
m,8,48361,1
m,2,49201.68,1
m,14,53288.52,1
m,11,50431,1
m12,24,60081,1
b,1,40771,1
m36,23,62349.71,1
m,4,45601,1
b,8,45601,1
b,15,50431,1
m,17,62153.5,1
m24,4,46961,1
m,8,47671,1
b,8,45601,1
m,13,51811,1
m,10,49741,1
b12,3,42831,1
m,9,49051,1
m12,33,63243.16,1
m12,12,51801,1
m12,9,49731,1
m12,17,55251,1
b,15,50431,1
m,13,55901.34,1
b,9,46291,1